id,title,url,is_paid,price,professor,description,num_subscribers
289230,Learn and Understand AngularJS,/learn-angularjs/,True,$175,Anthony Alicea,Includes information on the next version - AngularJS 2.0!,56504
364426,JavaScript: Understanding the Weird Parts,/understand-javascript/,True,$175,Anthony Alicea,  	                            Javascript is the language that modern developers need to know and know well. Truly knowing Javascript will get you a job and enable you to build quality web and server applications.,71370
1031706,Crystal Reiki Master/Teacher Certification,/crystal-reiki/,True,$95,Lisa Powers,Become a Certified Crystal Reiki Master/Teacher and learn how you can perform Crystal Reiki sessions on yourself and others as well as teach Crystal Reiki.,3616
1039062,Webpack 2: The Complete Developer's Guide,/webpack-2-the-complete-developers-guide/,True,$75,Stephen Grider,Webpack is the premier build tool for React and Angular 2 applications.,6589
437398,Build Responsive Real World Websites with HTML5 and CSS3,/design-and-develop-a-killer-website-with-html5-and-css3/,True,$195,Jonas Schmedtmann,*** The #1 HTML5 and CSS3 course in the official Udemy rankings! ***,35059
59527,Reiki Level I II and Master/Teacher Program,/reikicourse/,True,$195,Lisa Powers,  	      Learn about Reiki a universal energy that has been used successfully all over the world to heal emotional physical and energetic imbalances.,40919
419658,eBay Drop Shipping Guide with No Inventory - Work From Home,/ebay-drop-shipping-guide-with-no-inventory-work-from-home/,True,$195,David Vu,Formerly Known As "How I made $100000 my 1st year selling on Ebay No Inventory" Course.,23565
1101380,Seth Godin on Presenting to Persuade,/seth-godin-on-powerful-presentations/,True,$30,Seth Godin,You can learn to use Powerpoint or Keynote to make an impact.,4494
861624,ES6 Javascript: The Complete Developer's Guide,/javascript-es6-tutorial/,True,$80,Stephen Grider,This is the tutorial you've been looking for to master ES6 Javascript.,10634
461160,Learn and Understand NodeJS,/understand-nodejs/,True,$195,Anthony Alicea,NOTE: This is an EARLY BIRD version of the course meaning all content is not yet published. New content being added as course completion nears!,49600
1165258,Salesforce Administrator Certification Practice Tests,/salesforce-administrator-certification-practice-tests/,True,$100,Mike Wheeler,In this course I fully prepare you for what it is like to take the Salesforce Administrator Certification Exam. With 3 practice exams each of which is timed at 90 minutes I have carefully hand-crafted each question to put you to the test.,523
1105102,AWS Certified Solutions Architect - Associate Practice Tests,/aws-certified-solutions-architect-associate-practice-tests/,True,$100,Ryan Kroonenburg,These quizzes are the final step in your test preparation. They are based on the required supplemental reading detailed in the A Cloud Guru AWS Certified Solutions Architect - Associate course and should be taken after having finished both the video lectures and the FAQs/White Papers. As technical information is continuously updated by AWS please refer to the AWS Documentation for the latest information.,4287
781532,Advanced React and Redux,/react-redux-tutorial/,True,$140,Stephen Grider,NOTE: Knowledge of React + Redux is 100% required! If you are familiar with reducers and action creators you will be fine.,17252
9287,Microsoft Excel 2010 Course Beginners/ Intermediate Training,/excel-tutorial/,True,$50,Infinite Skills,A Verifiable Certificate of Completion is presented to all students who undertake this course.,68098
947098,Understanding TypeScript,/understanding-typescript/,True,$110,Maximilian Schwarzmüller,Most People know TypeScript from Angular 2. It's the Language you have to use there right?,6607
959700,The Complete React Native and Redux Course,/the-complete-react-native-and-redux-course/,True,$95,Stephen Grider,If you're tired of spinning your wheels learning Swift or Android this is the course for you.,20143
705264,Modern React with Redux,/react-redux/,True,$180,Stephen Grider,Course Last Updated 4/24/17 for React Router v4 and Redux Form v6!,39107
475170,Seth Godin's Freelancer Course,/seth-godin-freelancer-course/,True,$50,Seth Godin,Contents and Overview,21777
762616,The Complete SQL Bootcamp,/the-complete-sql-bootcamp/,True,$195,Jose Portilla,Learn how to use SQL quickly and effectively with this course!,32447
860148,R Programming: Advanced Analytics In R For Data Science,/r-analytics/,True,$200,Kirill Eremenko,Ready to take your R Programming skills to the next level?,6671
937678,Tableau 10 A-Z: Hands-On Tableau Training For Data Science!,/tableau10/,True,$200,Kirill Eremenko,Learn data visualization through Tableau 10 and create opportunities for you or key decision makers to discover data patterns such as customer purchase behavior sales trends or production bottlenecks.,11278
1034400,The Complete Jenkins Course For Developers and DevOps,/the-complete-jenkins-course-for-developers-and-devops/,True,$25,Level Up,What is this course about:,11371
498972,Become a Game Maker with GameMaker Studio 1.4,/make-a-game-and-learn-to-code-in-gamemaker-studio/,True,$150,Benjamin Anderson,This course teaches students how to build a polished platform game in GameMaker Studio 1.4. Students will learn to program in GameMaker Studio's scripting language GameMaker Language (GML).,17678
